name,score
HOL,320
EPW,6760
CAM,1840
EMX,4200
PEP,520
PEP,2800
LYA,120
ETH,1160
CHR,4670
LAU,800
PHI,1520
TYN,840
CLN,4220
TYN,120
TYN,480
EZX,1360
OAP,120
CMC,1040
FIO,1440
MII,80
MIT,2250
EUD,2630
FIS,1480
ABI,1080
MKY,240
ASH,1800
QUE,2600
VBN,1440
JPF,1520
MIM,3660
EVE,520
CAR,80
KER,760
NHH,80
ASH,840
GEO,4760
AND,840
STU,1800
AND,120
CHE,560
RRR,2800
QWE,1800
HAM,3750
AJL,3070
PIE,840
JOE,1720
ROB,120
EMO,800
STE,1480
MAR,880
OLI,2260
BEN,1200
A..,1440
LOL,800
DJK,760
DJL,1080
CAZ,2770
DDD,3300
AEM,1160
AGM,1440
JSH,3600
AJS,1480
AFW,1480
BAM,1440
ZPO,1760
IJG,1720
DAR,200
RST,3970
GMT,2760
OJJ,1520
RAP,1200
RAC,1440
GHF,3870
CAT,1120
JFN,1760
MOL,360
XCJ,1080
JME,520
UTH,2190
CLJ,760
AAA,160
AAA,1160
GJJ,4170
AAA,160
AAA,1680
ACA,200
KMC,1840
GSD,4660
LEN,1160
MAR,4090
FFF,200
NOO,2230
BEN,400
RHW,200
JAC,1160
D..,1800
BLJ,1400
MUM,4300
DAD,4720
EMY,3200
SAR,2730
L.L,3680
MIC,120
MIC,80
BOB,160
NIC,1760
HUU,2100
HIY,880
SAM,160
SAM,800
DAD,1360
WOL,520
MIA,400
ANN,160
MIA,520
MIA,520
TIA,1520
DAD,1520
WEE,3650
EST,3770
EST,3300
JAM,520
JIM,1400
JON,1120
JWC,1440
BIN,880
ALI,1760
ALI,4520
STU,2590
MMM,3040
EEE,5240
WIA,1480
INN,440
LCK,880
DEC,480
TYG,1440
LEM,3720
ABI,1480
BKH,80
ADY,1440
LOL,2190
LKK,1800
SJP,1480
ALI,1520
RAJ,1720
VIK,1200
LJO,1800
SRD,800
SRD,480
STU,480
JOR,4200
XAV,1160
MAE,1120
NIC,1160
DIA,7310
SEA,1160
DJA,880
AMY,1840
OLL,480
HAM,80
HWH,160
HHG,520
RYA,360
PWE,400
HHY,1120
KAT,1480
JEN,3230
CAR,1160
MIA,880
FUB,3650
GGG,3750
UJH,4720
MKH,1120
GYT,4570
AMY,2590
MAT,520
MAT,1120
IAN,3590
CAT,1760
SEC,480
IZZ,1120
KPP,1160
TFG,840
DEB,2800
BEN,800
DAI,1760
DAD,1200
ALF,400
AJT,1400
NPP,4550
MEG,200
LOL,800
LOL,1040
APE,1440
APE,2700
MKI,1520
JES,40
JES,1200
CJS,2180
SJS,1680
CRA,1800
SCO,1400
CAL,1800
CJS,160
SOP,3100
ETH,1720
MAI,480
MIK,1400
BGU,1480
FVF,80
GGG,880
MEG,1400
MEG,760
JON,2700
DIE,3640
KAT,3190
ASH,2650
NPO,1800
ALA,3130
FIN,720
MAU,160
MJG,760
CAT,520
CAR,1800
DAD,720
JAK,1440
EMM,1800
SAM,1120
EVE,1440
SOS,200
SSS,1160
SEX,1480
BEV,1440
DPM,1440
CLO,1120
ZCF,3190
MOO,840
CUM,1760
CUM,1520
DAN,160
FGT,840
FIR,480
REU,840
HOL,1440
VDM,4270
MAT,1760
REU,520
NRT,1480
DAN,1720
STE,720
FGH,1080
NEA,1080
WHO,200
VVV,2720
UAN,3230
SLC,1840
RAY,3250
EHC,1680
SLC,1440
ROS,1200
SAM,4800
...,160
OLL,4260
KEN,1760
AMY,520
ALM,160
MAT,440
ME.,880
EDD,1160
EDD,1480
GHJ,1440
GEM,760
JAM,1440
CH.,2180
CAL,760
CXV,1200
KWE,1840
JHG,1200
MEG,1200
MEG,1440
JHG,1800
CHR,2230
KEI,3800
ZZZ,40
CHR,1760
EHH,7330
RAF,3870
TOM,200
MBZ,1120
WIL,760
MPM,1760
SCO,0
ISA,80
CAT,800
.KU,480
EMC,1000
MAI,1120
YOO,440
YOU,720
DJH,400
CCP,4150
KEV,480
JMM,3620
JES,1520
EWA,1160
AIL,360
HGH,80
TTT,840
ELS,1040
.LN,480
MMM,200
OLL,880
JAM,80
ERN,1760
MAT,2190
MAT,1200
VGB,240
CAT,1040
...,480
YDH,840
OZZ,1120
DAN,1480
PNT,760
ELI,800
OMM,440
EMI,4200
SAM,840
MUM,1200
DAD,800
JSC,1800
UUU,4300
.PP,3100
DDD,2100
JUL,3800
TOM,560
HZB,1800
MAT,1800
LUC,1720
QQE,1120
POO,3820
POO,1480
POO,400
EAT,1760
EVE,1720
BEN,1520
HKH,1760
MAD,4210
KIT,440
FFH,4670
TUH,80
